peribahasa,maksud,penjelasan,contohAyat
"akal labah-labah, di gua buruk suka merakut",Orang jahat yang suka menipu orang.,Labah-labah ialah serangga yang berkaki lapan yang membuat sarang atau sawang dengan menyirat benang yang keluar dari badannya. Serangga ini menggunakan sawangnya sebagai jerat untuk memerangkap mangsa yang bakal dijadikan makanannya. Biasanya labah-labah akan merakut atau membuat sarang di kawasan yang tersembunyi seperti gua atau kawasan yang terlindung daripada tiupan angin kencang atau gangguan musuhnya. Dalam keadaan gelap itu labah-labah mengambil kesempatan untuk memerangkap mangsa.,"Mat Daim memang jenis akal labah-labah, di gua buruk suka merakut apabila orang kampung kehabisan wang kerana getah tidak dapat ditoreh pada musim tengkujuh. Dia memerangkap mereka dengan meminjamkan wang dan mengenakan kadar bunga yang amat tinggi."
akal sebagai makan nasi lecek,Fikiran seperti anak-anak.,Nasi lecek ialah nasi yang dilenyek. Biasanya nasi dilecek untuk diberi makan kepada bayi kerana mereka belum mampu makan nasi yang keras.,"""Perkara yang kita bincangkan ini bukan perkara kecil, jadi janganlah berbincang dengan akal sebagai makan nasi lecek,"" kata pengerusi mesyuarat itu kepada pekerjanya."
"akal tak sekali datang, runding tak sekali tiba",Tiada usaha yang serta-merta menjadi sempurna atau tiada sekali berusaha hasilnya terus sempurna.,Akal atau fikiran akan sentiasa ada selagi manusia itu dapat berfikir. Peluang berunding atau berbincang juga dapat dibuat berkali-kali.,"Oleh sebab akal tak sekali datang, runding tak sekali tiba usaha memulihkan akhlak remaja itu perlulah dilakukan secara berterusan."
"akan dijadikan tabuh singkat, akan dijadikan genderang berlebih",Sesuatu yang tidak dapat digunakan untuk sebarang maksud.,"Tabuh ialah sejenis gendang raya atau geduk(beduk) yang digunakan di masjid. Genderang pula sejenis gendang besar tetapi tidak sebesar tabuh. Sesuatu itu (misalnya belulang/kulit) ingin dijadikan tabuh, tetapi dijadikan genderang, berlebih pula. Maka belulang/kulit itu tidak berguna untuk membuat apa-apa pun.","Adibah berasa serba salah untuk bekerja di kilang elektronik itu kerana meskipun gajinya berpatutan tetapi akhlak pekerja-pekerja di situ terlalu menyedihkan. Dia bimbang jika dia turut menjadi manusia seperti akan dijadikan tabuh singkat, akan dijadikan genderang berlebih."
"akan memikul tiada berbahu, akan menjunjung kepala luncung",Tidak mampu mengerjakan tugas kerana tidak berilmu atau berwang.,"Memikul barang bermaksud membawa sesuatu di atas bahu, menjunjung pula bermaksud membawa sesuatu di atas kepala. Ingin memikul tetapi dikatakan tiada bahu manakala ingin menjunjung dikatakan kepala pula luncung atau berbentuk tirus dan tajam.","Tidak ada majikan yang mengambil orang buta huruf untuk membuat kerja-kerja pengkeranian kerana mereka tahu bahawa orang buta huruf ini akan memikul tiada berbahu, akan menjunjung kepala luncung."
"akan mengaji suratlah hilang, akan bertanya gurulah mati",Keadaan sulit yang tidak dapat diselesaikan lagi kerana punca untuk menyelesaikannya sudah tidak ada.,"Seseorang itu ingin mengaji atau mempelajari sesuatu ilmu, malangnya surat atau kitab yang ingin dibaca sudah hilang. Lalu dia ingin bertanya pula kepada guru, malangnya guru yang ingin ditanya itu telah mati.","Harapan untuk mendamaikan anak-anak Pak Nasir yang berebut harta itu sudah tidak ada lagi kerana ibu mereka telah meninggal dunia, akan mengaji suratlah hilang, akan bertanya gurulah mati."
akan pembasuh kaki,Hadiah kepada orang yang berjasa.,Air yang digunakan untuk membersihkan kaki dipanggil pembasuh kaki. Air basuh kaki tarafnya dianggap rendah kerana kaki merupakan anggota yang paling bawah serta terdedah oleh kotoran. Pembasuh kaki bermaksud merendah diri kepada seseorang yang disanjung tinggi.,"""Hamba rela untuk menyumbangkan khidmat di rumah Datuk Bendahara akan pembasuh kaki atas jasa datuk menyelamatkan keluarga hamba daripada ancaman lanun tempoh hari,"" sembah Damak kepada Datuk Bendahara."
"akan surut airlah gedang, akan lalu jalanlah semak","Sesuatu perkara yang serba susah, diteruskan susah, ingin berundur juga sukar.",Air gedang bermaksud air besar atau air yang lebih banyak daripada biasa. Seseorang itu dikatakan ingin surut atau berundur tetapi tidak berdaya kerana air gedang. Dia juga tidak mampu berlalu atau meneruskan perjalanan kerana jalan semak.,"Setelah sekian lama menganggotai kumpulan samseng itu, Hamid dan Seman mula diburu ketakutan untuk meneruskan kegiatan mereka yang sudah dikesan oleh polis. Ingin berundur pula mereka takut setelah diugut akan dibunuh oleh ketua yang tidak berhati perut itu, akan surut airlah gedang, akan lalu jalanlah semak."
akar terjumbai tempat siamang berpegang (bergantung),Daripada perkataan seorang dapat dikesan kesalahan yang telah dilakukannya.,"Siamang ialah sejenis beruk yang besar, bertangan panjang, dan tidak berekor. Akar terjumbai ialah batang-batang pokok memanjat atau melilit yang terumbai-umbai. Semua binatang jenis beruk dan monyet sangat pandai memanjat. Akar yang terumbai-umbai akan lebih memudahkan mereka mencari peluang untuk bergayut dan berpegang.","Orang yang sedang dibicarakan di mahkamah itu didapati bersalah kerana pendakwa dapat mengesan kesalahannya daripada jawapan-jawapannya ketika menjawab soalan peguam, akar terumbai tempat siamang berpegang."
akik disangka batu,Sesuatu yang menghina atau memalukan.,Akik ialah sejenis batu berwarna yang biasanya dijadikan mata cincin. Kalau akik yang cantik itu disangka batu biasa tentulah menjadi suatu penghinaan atau cuba merendah-rendahkan nilai akik.,"Puteri Ziara berasa kecil hati dan tersinggung apabila tetamunya dalam majlis itu tidak mengenalinya dan menyangka bahawa dia orang kebanyakan seperti yang lain, akik disangka batu."
